Officer.Name,Document,Shield..,Tax..,Precinct.Command
Baimadajie Angwang,<a href='https://web.archive.org/web/20220819064216/https://www.foxnews.com/us/nypd-officer-accused-spying-china-stand-federal-trial-next-month-release-bond' target='_blank'>Details</a>,NA,NA,community affairs unit
Barry Brown,<a href='https://web.archive.org/web/20220512235608/https://www.hellgatenyc.com/churaman-trial-hearing-update/' target='_blank'>Details</a>,NA,NA,NA
Barry Brown,<a href='https://web.archive.org/web/20220627160022/https://www.hellgatenyc.com/prakash-churaman-detectives-mess/' target='_blank'>Details</a>,NA,NA,NA
Barry Brown,<a href='https://web.archive.org/web/20221127095842/https://www.thenation.com/article/society/chanel-lewis-karina-vetrano-nypd/' target='_blank'>Details</a>,NA,NA,NA
Bekim Molic,<a href='https://web.archive.org/web/20180728023123/http://www.nydailynews.com/new-york/ny-metro-vassell-cop-killers-id-20180727-story.html' target='_blank'>Details</a>,NA,NA,71
Bekim Molic,"<a href='https://web.archive.org/web/20211213213534/https://www.cjr.org/watchdog/saheed-vassell-police-brutality-victims.php#:~:text=The%20group%20had%20come%20for,Bekim%20Molic%2C%20and%20Omar%20Rafiq.' target='_blank'>Details</a>",NA,NA,NA
Benito Cruz,<a href='https://web.archive.org/web/20220627145406/https://www.nydailynews.com/new-york/nyc-crime/ny-sewell-saves-job-officer-used-n-word-20220627-bw6n4wwikngo3gtyniicc2flwi-story.html' target='_blank'>Details</a>,NA,NA,NA
Benito Cruz,<a href='https://web.archive.org/web/20220902164545/https://gothamist.com/news/most-expensive-nypd-lawsuits-2021-2022' target='_blank'>Details</a>,NA,NA,Public safety teams
Bennett Shelley,<a href='https://web.archive.org/web/20220421202624/https://www.leagle.com/decision/infdco20191126a52' target='_blank'>Details</a>,NA,NA,Anticrime
Benny Santiago,<a href='https://web.archive.org/web/20170420092440/http://www.nydailynews.com/new-york/jail-guard-accused-sexually-assaulting-inmates-gave-cash-article-1.3077261' target='_blank'>Details</a>,NA,NA,DOC
Benny Santiago,<a href='https://web.archive.org/web/20220422195403/https://www.nydailynews.com/new-york/rikers-guard-admits-raping-female-inmate-avoids-jail-time-article-1.3231854' target='_blank'>Details</a>,NA,NA,DOC
Bernie Garcia,<a href='https://web.archive.org/web/20220411040254/https://nypost.com/2022/04/11/nearly-200-nypd-cops-lied-to-civilian-complaint-review-board/' target='_blank'>Details</a>,NA,NA,NA
Billy Dubuisson,<a href='https://web.archive.org/web/20210827233854/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-cop-off-duty-busted-drunk-driving-20201106-pdtyyra4pjduvg2zsrpaq3kisq-story.html' target='_blank'>Details</a>,NA,NA,NA
Bobby Glover,<a href='https://web.archive.org/web/20180811213204/http://www.nydailynews.com/new-york/queens/ny-metro-queens-police-lawsuit-20180811-story.html' target='_blank'>Details</a>,NA,NA,NA
Bradley Beamer,<a href='https://web.archive.org/web/20210302082701/https://www.dnainfo.com/new-york/20170921/long-island-city/sgt-arrest-cyclist-gun-road-rage-nypd/' target='_blank'>Details</a>,NA,NA,NA
Brandon Boyle,<a href='https://web.archive.org/web/20221201012305/https://nypost.com/2022/11/30/nypd-workers-among-17-busted-in-fraudulent-loan-scheme/' target='_blank'>Details</a>,NA,NA,NA
